movieId,genres,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",Toy Story (1995),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,"['Adventure', 'Children', 'Fantasy']",Jumanji (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"['Comedy', 'Romance']",Grumpier Old Men (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,"['Comedy', 'Drama', 'Romance']",Waiting to Exhale (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,['Comedy'],Father of the Bride Part II (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"['Action', 'Crime', 'Thriller']",Heat (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"['Comedy', 'Romance']",Sabrina (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,"['Adventure', 'Children']",Tom and Huck (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,['Action'],Sudden Death (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"['Action', 'Adventure', 'Thriller']",GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"['Comedy', 'Drama', 'Romance']","American President, The (1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,"['Comedy', 'Horror']",Dracula: Dead and Loving It (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,"['Adventure', 'Animation', 'Children']",Balto (1995),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,['Drama'],Nixon (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,"['Action', 'Adventure', 'Romance']",Cutthroat Island (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,"['Crime', 'Drama']",Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,"['Drama', 'Romance']",Sense and Sensibility (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,['Comedy'],Four Rooms (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,['Comedy'],Ace Ventura: When Nature Calls (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Money Train (1995),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,"['Comedy', 'Crime', 'Thriller']",Get Shorty (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",Copycat (1995),0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,"['Action', 'Crime', 'Thriller']",Assassins (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,"['Drama', 'Sci-Fi']",Powder (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,"['Drama', 'Romance']",Leaving Las Vegas (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,['Drama'],Othello (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,"['Children', 'Drama']",Now and Then (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"['Drama', 'Romance']",Persuasion (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,"['Crime', 'Drama']",Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,['Drama'],Dangerous Minds (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,"['Mystery', 'Sci-Fi', 'Thriller']",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
34,"['Children', 'Drama']",Babe (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,"['Crime', 'Drama']",Dead Man Walking (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,"['Children', 'Comedy']",It Takes Two (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"['Comedy', 'Romance']",Clueless (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,['Drama'],"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,"['Drama', 'War']",Richard III (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42,"['Action', 'Crime', 'Drama']",Dead Presidents (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
43,['Drama'],Restoration (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,"['Action', 'Adventure', 'Fantasy']",Mortal Kombat (1995),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,"['Comedy', 'Drama', 'Thriller']",To Die For (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,"['Drama', 'Romance']",How to Make an American Quilt (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,"['Mystery', 'Thriller']",Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",Pocahontas (1995),0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
